  id   |                           character                           | order_of_appearance | movie_id | person_ext_id 
-------+---------------------------------------------------------------+---------------------+----------+---------------
 24602 | Agnes                                                         |                   4 |     3302 |       3103148
 24603 | Babysitter                                                    |                  10 |     3302 |       3103154
 24604 | Opera singer                                                  |                  11 |     3302 |       3103155
 24605 | Muhajid                                                       |                   6 |     3302 |         89625
 24606 | Opera singer                                                  |                  16 |     3302 |       3103162
 24607 | Karin                                                         |                   3 |     3302 |         87674
 24608 | Waiter                                                        |                   9 |     3302 |       1112410
 24609 | Patrick                                                       |                   2 |     3302 |         45754
 24610 | Abel                                                          |                   5 |     3302 |       3103149
 24611 | Hannah                                                        |                  12 |     3302 |       3103156
 24612 | Louise                                                        |                   1 |     3302 |       1518801
 24613 | Opera singer                                                  |                  14 |     3302 |       3103159
 24614 | Derek                                                         |                  13 |     3302 |       3103158
 24615 | Fie                                                           |                   7 |     3302 |       1178385
 24616 | Bjørn                                                         |                   0 |     3302 |       2361843
 24617 | Lut player                                                    |                  15 |     3302 |       3103160
 24618 | Jonas                                                         |                   8 |     3302 |       1476922
 24619 | P                                                             |                   8 |     3303 |       1137824
 24620 | Thug 2                                                        |                  39 |     3303 |       1329095
 24621 | Thug 1                                                        |                  38 |     3303 |        141879
 24622 | N - Black Man                                                 |                  31 |     3303 |       1444134
 24623 | Interpreter                                                   |                  10 |     3303 |         11044
 24624 | Joe                                                           |                   0 |     3303 |          4273
 24625 | Psychologist                                                  |                  15 |     3303 |          6692
 24626 | Joe's Girlfriend - 12 Years                                   |                  23 |     3303 |       1444129
 24627 | Seligman                                                      |                   1 |     3303 |          1640
 24628 | Brunhelda                                                     |                  37 |     3303 |       1444138
 24629 | Boss                                                          |                  34 |     3303 |       1444137
 24630 | Debtor Gets Whipped                                           |                  40 |     3303 |       1145463
 24631 | L                                                             |                   4 |     3303 |          5293
 24632 | Valeria Messalina                                             |                  24 |     3303 |       1444130
 24633 | Debtor Gentleman                                              |                   6 |     3303 |          1642
 24634 | Jerôme                                                        |                   3 |     3303 |         10959
 24635 | Joe's Girlfriend - 12 Years                                   |                  22 |     3303 |       1444128
 24636 | Man 3 in Car                                                  |                  28 |     3303 |       1012185
 24637 | Young Joe                                                     |                   2 |     3303 |       1137823
 24638 | B                                                             |                  12 |     3303 |       1151957
 24639 | The Whore of Babylon                                          |                  25 |     3303 |       1444131
 24640 | Therapist                                                     |                  11 |     3303 |         11110
 24641 | Babysitter                                                    |                  14 |     3303 |         83011
